method,scenario_id,optimization_seed,training_terminated,computational_success,completed_updates,failure,runtime_seconds,terminated_at_utc,x_true,y_true,Q_true,observations_hash,reference_data_hash,reference_target_met,reference_error_estimate,evaluation_success,recovery_success,x_pred,y_pred,Q_pred,localization_error,relative_strength_error,signed_Q_error,signed_relative_Q_error,relative_l2,rmse,mae,negative_fraction,minimum_concentration,pde_rmse,pde_mae,bc_rmse,bc_maxabs,ic_rmse,ic_maxabs,pde_maxabs,ic_mae,bc_mae
J1,final_blind_v1_001,42,True,True,12000,,85.9089479999966,2026-09-20T14:48:45.622377+00:00,0.474627350088808,0.5641658156887355,1.1121200588979085,9931457ff42a49dfdf5fdb2b0a773ce34292b0b78df5611cc0c5ca4fcd192893,79f51aaf60258456f521d4ad478a6453026b37a78faeec97be11b8bda36c2913,True,0.0077827592680276,True,True,0.47418448328971863,0.5641159415245056,1.1033005714416504,0.0004456662809696406,0.007930337543770332,-0.008819487456258157,-0.007930337543770332,0.015122922350782435,0.0007991057072136797,0.0004405538534328078,0.0,0.0,0.004067643609019742,0.002199235939082229,0.0,0.0,0.0,0.0,0.06061740219593048,0.0,0.0
J1,final_blind_v1_002,42,True,True,12000,,85.62291674996959,2026-09-20T14:48:45.336342+00:00,0.498907988567038,0.7307807772785597,1.3747651413585673,51e5758acd8ece8aae19b247a35b72462c98585e6c855385ccee7afedefa1200,ec2970f79f6e5e04b65eee3e5c0df1aa0569029017496ac540e8760e9852c536,True,0.008335984519549552,True,True,0.4970504343509674,0.7238608598709106,1.2859355211257935,0.0071648980868067045,0.06461439671432959,-0.08882962023277385,-0.06461439671432959,0.07952927194867965,0.00519396334246235,0.0016935490126257003,0.0,0.0,0.00539533195427968,0.0024427523443761616,0.0,0.0,0.0,0.0,0.09611571580171585,0.0,0.0
J1,final_blind_v1_003,42,True,True,12000,,92.95802175003337,2026-09-20T14:50:21.003945+00:00,0.5353784315055168,0.6131215077012746,1.0345640126793336,c7a5c1a2c259723892d25a78f5fb83b5b70d4f4d7eb0651ce51d7d976a2d7755,71d0fc65a6d63c8734d4118b522846d09b80fbc3882dc382d535916b5d4ee465,True,0.007696833807344052,True,True,0.5338432192802429,0.6140490770339966,1.0387860536575317,0.0017936726132816497,0.004080985735492378,0.004222040978198116,0.004080985735492378,0.029416369459496636,0.0014456702456677997,0.0006639498893229017,0.0,0.0,0.006824917376439904,0.003004913584458428,0.0,0.0,0.0,0.0,0.1263541281223297,0.0,0.0
J1,final_blind_v1_004,42,True,True,12000,,93.82302441599313,2026-09-20T14:50:21.977453+00:00,0.7168439344813469,0.3327984332638125,0.8219700800168444,43bf1a48e0fdb9b763388bfffc7f11041177dadfcb102cca01e5e12a8f080ad8,1794295950a63bc6965c328adbc5870d2cd304477afab759055daf646fd8af0a,True,0.009090095232668021,True,True,0.7032745480537415,0.3207237124443054,0.7768574953079224,0.018163896357629855,0.05488348761794044,-0.04511258470892199,-0.05488348761794044,0.13013056757378175,0.0049418257886187835,0.0016191783137754659,0.0,0.0,0.004964577644215863,0.0016583931185988054,0.0,0.0,0.0,0.0,0.14399215579032898,0.0,0.0
J1,final_blind_v1_005,42,True,True,12000,,97.66216595802689,2026-09-20T14:52:02.244346+00:00,0.2569786538992116,0.4285018320036125,0.8620094344192664,4f65d3ee0a3e3498bf757e0ff29d8030a5360d49664ee751d7cef1d9c501c887,957414c97756778a915c26c32ac6838fdce6dc96c6a72fcea6ac4f027f6a4e38,True,0.007800437724809932,True,True,0.2567887306213379,0.4316774308681488,0.8019977807998657,0.00318127317279142,0.06961832576673635,-0.06001165361940064,-0.06961832576673635,0.06892644599044802,0.0028222361669353597,0.001121314436997614,0.0,0.0,0.0054193657057629565,0.002689024456109668,0.0,0.0,0.0,0.0,0.05913186073303223,0.0,0.0
J1,final_blind_v1_006,42,True,True,12000,,102.44510583300143,2026-09-20T14:52:07.736911+00:00,0.2505104186940489,0.6167414587489781,1.2464752470873801,bfea2f836606009b11f39e2ff9c88fb7cf65a7071c4488db7445e5dfe7b2c645,a96acb8dbbc4588043a0d1de77c8a8f85560c9ef6658f026ba9680f628b9588b,True,0.007906314699349187,True,True,0.2517724633216858,0.6174378991127014,1.2357102632522583,0.0014414526778115913,0.008636339839299807,-0.01076498383512181,-0.008636339839299807,0.01719065573059106,0.0010177114156573776,0.0005708900719173616,0.0,0.0,0.006293717907994961,0.0031586299565527958,0.0,0.0,0.0,0.0,0.05577927827835083,0.0,0.0
J1,final_blind_v1_007,42,True,True,12000,,92.73677687498275,2026-09-20T14:53:37.644713+00:00,0.39409538737052974,0.4914456455058536,0.997808050913236,cbbe0687b1c77ea5f30fc68b8027b4a66a3e590404ce85bd0bc032d2be492258,64716539e64afced992c09278187b1f989f8b1a388a130c56d228fca1a58f63b,True,0.00856850791070347,True,True,0.39384278655052185,0.4911879599094391,0.9926608800888062,0.0003608448986312153,0.005158477945451461,-0.005147170824429836,-0.005158477945451461,0.009349345407340667,0.00044325616176891093,0.00030909117197659144,0.0,0.0,0.002210654728382601,0.0014971939155533956,0.0,0.0,0.0,0.0,0.01911395788192749,0.0,0.0
J1,final_blind_v1_008,42,True,True,12000,,95.637782374979,2026-09-20T14:53:46.149356+00:00,0.6583641952984207,0.7311222002316733,0.9680131891994131,73262090b4e3431c28ff9aca95e609bd29b9f64c703e74a61faa428727f23baa,cf77b4526e3e2e46f29e30b3701cf2e4598d99bfafe58e92f2d38b16b932ab2e,True,0.008735053789980527,True,False,0.5821012258529663,0.757986843585968,0.6346828937530518,0.08085635145856981,0.34434478699824256,-0.3333302954463614,-0.34434478699824256,0.5067979408605576,0.023114947534598487,0.007429657618309199,0.0,0.0,0.009966489980364127,0.0035457837360903825,0.0,0.0,0.0,0.0,0.19485491514205933,0.0,0.0
J1,final_blind_v1_009,42,True,True,12000,,94.53855062497314,2026-09-20T14:55:14.765241+00:00,0.573719459743427,0.3647695262968245,1.0095717560068111,6f391ca04130baa098349b3d32cfe4eb3ac4c4d5c24beee8c619c75852222528,2dc3d6facc963eca946ce8743b5dc4f978021d8c1c96b453ed8728cfca6b0369,True,0.00760795915641157,True,True,0.5711942315101624,0.3755946159362793,0.8622673749923706,0.011115725047530995,0.1459077872751491,-0.14730438101444054,-0.1459077872751491,0.15996833058973856,0.00766628055563392,0.002411184811355972,0.0,0.0,0.00928244502678627,0.003227130332316353,0.0,0.0,0.0,0.0,0.2455369383096695,0.0,0.0
J1,final_blind_v1_010,42,True,True,12000,,96.98500170797342,2026-09-20T14:55:25.745080+00:00,0.7330400080830475,0.34352079393819174,0.8547894825968508,2bec3e23d15772c67759a075907c4e2488e0d11af918117a2d4fd0d2371c1ed4,af188b9fcd1cdf37f22c97c20ff42bc23959db3b07e8925d664da4a1506b26e1,True,0.009510879380712168,True,True,0.7100585103034973,0.32398369908332825,0.7627133727073669,0.030163675431873396,0.10771787880421343,-0.09207610988948389,-0.10771787880421343,0.22113860049589687,0.008652175459360761,0.0027244008669935317,0.0,0.0,0.0053260849532456335,0.0017457553961208933,0.0,0.0,0.0,0.0,0.1598670929670334,0.0,0.0
