scenario_id,sensor_rms,rank,sigma_max,sigma_mid,sigma_min,jacobian_condition,information_eigenvalue_min,information_eigenvalue_mid,information_eigenvalue_max,information_condition,information_logdet,x_sensitivity_norm,y_sensitivity_norm,Q_sensitivity_norm,Q_effective_information,normalized_x_std_proxy,physical_x_std_proxy,normalized_y_std_proxy,physical_y_std_proxy,normalized_Q_std_proxy,physical_Q_std_proxy,finite_difference_stable,downwind_sensor_count,nearest_downwind_distance,min_downwind_crosswind_distance,reachable_downwind_count,plume_corridor_count,nearest_sensor_distance,boundary_distance,information_group
final_blind_v1_001,0.07811659878120836,3,13.10370002009122,8.510702401545561,1.7486615450275316,7.4935598929093565,3.057817199058074,72.43205536767339,171.70695421653863,56.153439868619685,10.54613955209996,8.931802959891648,12.798303713188167,1.90345599737288,3.074496983786502,0.11802226218999853,0.05901113109499927,0.08645734722405139,0.043228673612025696,0.5703125970026088,0.34218755820156527,True,7,0.10145092547778312,0.05802175555232486,5,3,0.10145092547778312,0.4358341843112645,higher
final_blind_v1_002,0.04873605891530261,3,10.560137935566683,4.312311155043552,0.23986992509161414,44.02443504133927,0.05753758096345658,18.59602749791305,111.51651321819456,1938.1508807091006,4.781803700376283,4.322366390488007,10.515078966874682,0.9593442572092725,0.05798628813169753,0.23236769878908428,0.11618384939454214,0.37846565800399246,0.18923282900199623,4.152764902439388,2.4916589414636325,True,8,0.1761585245357815,0.0767571569383953,5,1,0.1695206347572531,0.2692192227214403,lower
final_blind_v1_003,0.06735553656314425,3,10.263668972769144,4.349740670043539,1.7196576850718535,5.968437242985537,2.957222553826686,18.92024389663081,105.34290078258402,35.6222431234568,8.681703706913732,5.965832846799193,9.407876333760823,1.7666546254874875,2.9646544924308853,0.21111384856511425,0.10555692428255713,0.13647306131864012,0.06823653065932006,0.5807817439931195,0.34846904639587173,True,7,0.0805068009940483,0.017022364627924082,5,1,0.0805068009940483,0.3868784922987254,higher
final_blind_v1_004,0.014649850075314825,3,4.351878900240543,1.1192111492686792,0.23186258639233864,18.769215715021197,0.0537602589685447,1.2526335966473177,18.938849962358834,352.28345855699865,0.24324281249292445,2.514610001130357,3.6998182247781988,0.48303774571866837,0.059323310772811395,1.2294909996221117,0.6147454998110559,1.0410534513221834,0.5205267256610917,4.105700917519874,2.463420550511924,True,2,0.280883396658394,0.08134613074157566,2,1,0.14016911579664268,0.28315606551865313,lower
final_blind_v1_005,0.06271731473913321,3,11.68423137782425,5.8020055797573065,1.7070526329135127,6.844681383890422,2.914028691536956,33.663268747534914,136.5212628905328,46.84966324697611,9.502424223199197,8.033762826982358,10.228512678411034,1.9836188033455033,2.972495736301892,0.17125286633402673,0.08562643316701336,0.12022134160785877,0.060110670803929386,0.5800152065473437,0.3480091239284062,True,14,0.052403239228417164,0.011838374718727507,9,2,0.052403239228417164,0.2569786538992116,higher
final_blind_v1_006,0.06804797180379933,3,10.740430087237797,6.97599376617245,1.0338064385747647,10.389207966285124,1.0687557524386389,48.66448902567688,115.35683845884292,107.93564216672227,8.699474976935576,8.766902174425924,9.276122053495216,1.4781979399471943,1.0868912944134903,0.17451684900794825,0.08725842450397413,0.1198905934004261,0.05994529670021305,0.9591950853302108,0.5755170511981265,True,18,0.12709546294789628,0.0180624121564113,11,1,0.12709546294789628,0.2505104186940489,higher
final_blind_v1_007,0.060857829280730635,3,10.845154715345462,6.354994990483375,1.3761878736025837,7.880577153288688,1.8938930634508007,40.38596132906879,117.61738079977991,62.10349626893564,9.104553585662055,10.436355650278735,6.946118557503503,1.6526200163073776,1.912992816462621,0.1073773014277793,0.05368865071388965,0.16433240653017045,0.08216620326508522,0.723008379008314,0.43380502740498844,True,8,0.1328877199123995,0.03855200021623715,5,2,0.10342899099639058,0.39409538737052974,higher
final_blind_v1_008,0.015605757682437072,3,6.597196415775858,1.1772123011778914,0.16181919223141988,40.76893676703759,0.02618545097442922,1.3858288020445466,43.523000548325825,1662.1062051147092,0.4570365915098584,4.339659336960814,5.089236869054064,0.4494882992184962,0.027931975465905565,1.4901148981296268,0.7450574490648134,0.9549902596607489,0.47749512983037445,5.9834156640194776,3.5900493984116864,True,6,0.14040858561872874,0.13988385125860475,4,0,0.14040858561872874,0.2688777997683267,lower
final_blind_v1_009,0.03420735546045947,3,9.918135995196756,2.5611638658308764,0.17328568759456273,57.23574827715871,0.03002792952512039,6.55956034763776,98.36942161921756,3275.9308808462765,2.964026234147919,3.1232273959275747,9.713110273228732,0.927334540393219,0.030458968573450304,0.518636211636935,0.2593181058184675,0.6040763640463431,0.30203818202317156,5.729838795329568,3.437903277197741,True,5,0.08789815647333693,0.054352709308840425,3,0,0.08789815647333693,0.3647695262968245,lower
final_blind_v1_010,0.014358480252700565,3,4.289385910312642,1.4135054910769613,0.13256726560218096,32.3562976940672,0.01757407990923919,1.9979977733047216,18.398831487588616,1046.9300004670986,-0.4368974726512942,2.3760911773288766,3.8159170161752916,0.45538048210952314,0.018694105889278105,1.4816635707514068,0.7408317853757034,1.329929405947567,0.6649647029737835,7.313876973841482,4.388326184304889,True,2,0.2760087418379679,0.0975814812184109,2,1,0.14425968270323614,0.2669599919169525,lower
final_blind_v1_011,0.062150169891189024,3,11.41492408626337,4.910294471841319,1.5824010063877219,7.213673424235975,2.5039929450168747,24.11099180019542,130.30049189515566,52.03708427152838,8.970397722782415,8.211680644715475,9.29554409298859,1.7540346760762922,2.5234269825801423,0.17485721104147964,0.08742860552073982,0.14713955834245773,0.07356977917122887,0.6295128921645576,0.3777077352987346,True,14,0.05029454323069873,0.022118242737215008,9,2,0.05029454323069873,0.27643886124679024,higher
final_blind_v1_012,0.019724578997242895,3,7.613983206911973,2.162645438902368,0.11193217975209588,68.02318353645217,0.012528812864055503,4.677035294405217,57.97274027513753,4627.153498433857,1.2229130718462642,2.306209264204976,7.551163845425117,0.5688829331650392,0.012606872776473758,0.5709943700132925,0.2854971850066462,0.631850226249861,0.3159251131249305,8.906279392209582,5.343767635325749,True,5,0.15012933935404874,0.0018830664132366837,3,0,0.14469799341459286,0.3324493878560946,lower
final_blind_v1_013,0.06109152371981238,3,9.36831455133358,7.347298381370479,1.73304415446669,5.4056987106693155,3.003442041331164,53.98279350488926,87.76531753272849,29.2215785505319,9.563090740958522,7.818803202398063,8.953595381996495,1.8576865442290522,3.019197897676501,0.1332326070441012,0.0666163035220506,0.11791963986136127,0.05895981993068063,0.5755117697648191,0.34530706185889143,True,8,0.11973822177293816,0.03764063876161744,5,2,0.08149627223759626,0.4379291231360904,higher
final_blind_v1_014,0.05040490145776269,3,7.721560952836227,5.747191376820535,1.5174927303551529,5.088367672792132,2.3027841866807366,33.030208721800314,59.6225035483651,25.891485573516018,8.4195745444628,7.5454642901277,5.932982819735512,1.679636854792444,2.3369105875699185,0.1419665609350694,0.0709832804675347,0.18230345081514168,0.09115172540757084,0.654152419285533,0.3924914515713198,True,12,0.01470773061451842,0.014300766171469899,8,4,0.01470773061451842,0.37306546450854816,higher
final_blind_v1_015,0.06428878162321644,3,8.255424366324386,4.832606352987682,0.5987367992308786,13.788069109714124,0.35848575475323746,23.354084162936903,68.15203146810238,190.11084977425284,6.346646490485405,4.909604496051447,8.094228974350779,1.4979460567471214,0.3688929065692557,0.20615572195019505,0.10307786097509752,0.3060869665373004,0.1530434832686502,1.6464549338506476,0.9878729603103885,True,17,0.10588494247565781,0.03825017892518259,11,2,0.10588494247565781,0.3044065185144325,higher
final_blind_v1_016,0.011294458332323428,3,5.144962424060574,2.7318629167058592,0.11227716165913255,45.823766365598054,0.012606161030230986,7.4630749956726445,26.470638344995255,2099.8175639289157,0.9124340449577018,2.868999680540447,5.063429864907781,0.2771972906016246,0.012641346397415536,0.3768016912120639,0.18840084560603196,0.5005841836299648,0.2502920918149824,8.894127153874372,5.336476292324623,True,6,0.20360844735186215,0.04634901896507451,4,0,0.1637547826076667,0.29727385669203754,lower
final_blind_v1_017,0.016534519065054064,3,6.551363175242609,5.187243496265998,0.10538106624177358,62.16831361538849,0.011105169122253072,26.90749508955389,42.920359453924924,3864.899217781298,2.551406575992318,6.54694301657901,5.1813202356061465,0.3611335852100045,0.011147342276810033,0.3589805721599399,0.17949028607996995,0.5217956876549489,0.26089784382747444,9.471403349235736,5.682842009541441,True,7,0.1992290284222177,0.05964742524560951,5,0,0.11770397853853544,0.30243953317534705,lower
final_blind_v1_018,0.08829891292575384,3,11.993782054026056,9.094671949096284,1.8356099485873427,6.533949144945683,3.369463883352827,82.7130578616788,143.8508079594775,42.69249142873642,10.598907837215345,9.100200335638485,11.964858562248105,1.9904379269779764,3.387619949736385,0.11322654016374552,0.05661327008187276,0.08838555440099598,0.04419277720049799,0.5433162057272983,0.325989723436379,True,7,0.08764607481565233,0.033019312777639774,5,2,0.08764607481565233,0.45938525595468027,higher
final_blind_v1_019,0.061797605579655225,3,7.516651204208542,5.602129996368831,1.734792258314809,4.3328826078058915,3.009504179508995,31.383860496215433,56.50004532572972,18.773871693026784,8.582310544990676,6.958171854678356,6.211759446155714,1.9726375808321495,3.0639715306598694,0.16633569447974664,0.08316784723987332,0.1667390408626844,0.0833695204313422,0.5712913352238392,0.34277480113430353,True,6,0.08887077414536328,0.010975564016065621,4,1,0.021174675387203558,0.4533332232420333,higher
final_blind_v1_020,0.04403795520942425,3,11.456673040370097,4.913396934858763,0.2576717702838144,44.462274729401145,0.0663947412011948,24.14146943947949,131.255357153943,1976.8938741127436,5.348938378014097,5.788980416315331,10.981251880209877,1.16749056421389,0.06706074357421107,0.21360071828729651,0.10680035914364826,0.39114707998175396,0.19557353999087698,3.8615869460462386,2.316952167627743,True,7,0.09974295955492986,0.041069524424312887,5,0,0.09974295955492986,0.3954219563175483,lower
final_blind_v1_021,0.059894399930908365,3,11.072284999123251,8.159673722061317,0.3005954182483199,36.83451019861024,0.09035760547188239,66.58027525049799,122.59549510180977,1356.7811415715216,6.603318556811779,10.939986907193731,8.243022589686852,1.278824856703111,0.09156473757876896,0.3880580062721396,0.1940290031360698,0.13597628864158756,0.06798814432079378,3.304729159311303,1.9828374955867816,True,5,0.1603850116535721,0.14776074843724915,3,0,0.009873433888437172,0.3757188912518775,higher
final_blind_v1_022,0.05250863036853642,3,8.144376416015225,5.08488824857029,1.1682410107018804,6.971486483873799,1.364787059085751,25.85608850044823,66.33086720574501,48.60162379483507,7.758199878513586,6.189619539164485,7.267758566270266,1.5556471798185583,1.4061485248688113,0.22831299894009038,0.11415649947004519,0.15224102621538685,0.07612051310769342,0.8433044697250852,0.5059826818350511,True,17,0.11128057379750705,0.01880384618140718,11,2,0.11128057379750705,0.266264469998352,higher
