method,information_group,count,recovered,localization_median,Q_error_median,L2_median
B_revised,higher,15,15,0.0009820269183915,0.007906135984519,0.0201685643336117
B_revised,lower,15,6,0.0352061685299747,0.259641429263945,0.3867069275221096
J1,higher,15,15,0.0013988588303281,0.0079303375437703,0.0277238465254034
J1,lower,15,8,0.0251110825046905,0.1459077872751491,0.2754932768700929
classical,higher,15,15,0.0010412586059293,0.0124067168428546,0.0109309873833431
classical,lower,15,15,0.0014754427124262,0.0101576960273245,0.0209009737354476
