method,scenario_id,optimization_seed,training_terminated,computational_success,completed_updates,failure,runtime_seconds,terminated_at_utc,x_true,y_true,Q_true,observations_hash,reference_data_hash,reference_target_met,reference_error_estimate,evaluation_success,recovery_success,x_pred,y_pred,Q_pred,localization_error,relative_strength_error,signed_Q_error,signed_relative_Q_error,relative_l2,rmse,mae,negative_fraction,minimum_concentration,pde_rmse,pde_mae,bc_rmse,bc_maxabs,ic_rmse,ic_maxabs
classical,final_blind_v1_001,42,True,True,0,,54.51964254199993,2026-09-20T15:36:45.337949+00:00,0.474627350088808,0.5641658156887355,1.1121200588979085,9931457ff42a49dfdf5fdb2b0a773ce34292b0b78df5611cc0c5ca4fcd192893,79f51aaf60258456f521d4ad478a6453026b37a78faeec97be11b8bda36c2913,True,0.0077827592680276,True,True,0.47554184418521395,0.5636679000010326,1.12422982483913,0.0010412586059293334,0.010888901647203495,0.012109765941221484,0.010888901647203495,0.010005395031892548,0.0005286920138487082,0.0002174159449796082,0.0,0.0,,,,,,
classical,final_blind_v1_002,42,True,True,0,,67.83244908304187,2026-09-20T15:36:58.650202+00:00,0.498907988567038,0.7307807772785597,1.3747651413585673,51e5758acd8ece8aae19b247a35b72462c98585e6c855385ccee7afedefa1200,ec2970f79f6e5e04b65eee3e5c0df1aa0569029017496ac540e8760e9852c536,True,0.008335984519549552,True,True,0.5005412696992211,0.7329086611564549,1.421549796580067,0.002682442367424054,0.03403101650894802,0.04678465522149966,0.03403101650894802,0.03239384359866017,0.00211560387829874,0.0007029489425922228,0.0,0.0,,,,,,
classical,final_blind_v1_003,42,True,True,0,,59.17282924999017,2026-09-20T15:37:45.428787+00:00,0.5353784315055168,0.6131215077012746,1.0345640126793336,c7a5c1a2c259723892d25a78f5fb83b5b70d4f4d7eb0651ce51d7d976a2d7755,71d0fc65a6d63c8734d4118b522846d09b80fbc3882dc382d535916b5d4ee465,True,0.007696833807344052,True,True,0.5366315404011932,0.6135939070191285,1.0475466642398,0.0013391949148395985,0.012548910846844149,0.012982651560466296,0.012548910846844149,0.011664918352465269,0.000573273510299191,0.00022278563559199142,0.0,0.0,,,,,,
classical,final_blind_v1_004,42,True,True,0,,67.19751629204256,2026-09-20T15:38:06.756166+00:00,0.7168439344813469,0.3327984332638125,0.8219700800168444,43bf1a48e0fdb9b763388bfffc7f11041177dadfcb102cca01e5e12a8f080ad8,1794295950a63bc6965c328adbc5870d2cd304477afab759055daf646fd8af0a,True,0.009090095232668021,True,True,0.7180436680165329,0.3325424093663334,0.8287882199806521,0.0012267472402782277,0.008294876090463092,0.006818139963807757,0.008294876090463092,0.009974713019698505,0.000378798732333739,0.00011341457472179114,0.0,0.0,,,,,,
classical,final_blind_v1_005,42,True,True,0,,64.43353933299659,2026-09-20T15:38:50.707073+00:00,0.2569786538992116,0.4285018320036125,0.8620094344192664,4f65d3ee0a3e3498bf757e0ff29d8030a5360d49664ee751d7cef1d9c501c887,957414c97756778a915c26c32ac6838fdce6dc96c6a72fcea6ac4f027f6a4e38,True,0.007800437724809932,True,True,0.25800197569685873,0.4285499456323499,0.8701709103013784,0.0010244522550173058,0.009467965843796581,0.008161475882112024,0.009467965843796581,0.01011630271683414,0.00041421830173969687,0.00016873104888518164,0.0,0.0,,,,,,
classical,final_blind_v1_006,42,True,True,0,,63.881840125017334,2026-09-20T15:39:11.535818+00:00,0.2505104186940489,0.6167414587489781,1.2464752470873801,bfea2f836606009b11f39e2ff9c88fb7cf65a7071c4488db7445e5dfe7b2c645,a96acb8dbbc4588043a0d1de77c8a8f85560c9ef6658f026ba9680f628b9588b,True,0.007906314699349187,True,True,0.2502249207913993,0.6177563855646692,1.2634341476272557,0.0010543175487613171,0.01360548521079997,0.016958900539875588,0.01360548521079997,0.01523350475435632,0.0009018452775708276,0.0003460812927821247,0.0,0.0,,,,,,
classical,final_blind_v1_007,42,True,True,0,,64.42058587499196,2026-09-20T15:39:56.008621+00:00,0.39409538737052974,0.4914456455058536,0.997808050913236,cbbe0687b1c77ea5f30fc68b8027b4a66a3e590404ce85bd0bc032d2be492258,64716539e64afced992c09278187b1f989f8b1a388a130c56d228fca1a58f63b,True,0.00856850791070347,True,True,0.3952684312404783,0.4913477920981445,1.006901304753469,0.0011771181802283665,0.009113229575478403,0.009093253840232962,0.009113229575478403,0.010070652502871438,0.0004774536163169769,0.00019451574439857862,0.0,0.0,,,,,,
classical,final_blind_v1_008,42,True,True,0,,69.11172866699053,2026-09-20T15:40:21.488819+00:00,0.6583641952984207,0.7311222002316733,0.9680131891994131,73262090b4e3431c28ff9aca95e609bd29b9f64c703e74a61faa428727f23baa,cf77b4526e3e2e46f29e30b3701cf2e4598d99bfafe58e92f2d38b16b932ab2e,True,0.008735053789980527,True,True,0.6606990611340947,0.7296900640005657,0.9631201370801485,0.002739089749359943,0.005054737036497781,-0.004893052119264607,-0.005054737036497781,0.02007956297420768,0.0009158246457717765,0.0002885032943707378,0.0,0.0,,,,,,
classical,final_blind_v1_009,42,True,True,0,,64.14285329199629,2026-09-20T15:41:01.014141+00:00,0.573719459743427,0.3647695262968245,1.0095717560068111,6f391ca04130baa098349b3d32cfe4eb3ac4c4d5c24beee8c619c75852222528,2dc3d6facc963eca946ce8743b5dc4f978021d8c1c96b453ed8728cfca6b0369,True,0.00760795915641157,True,True,0.5758377250424065,0.3664873435353348,0.9952822285438339,0.002727259419597603,0.014154048365513988,-0.014289527462977292,-0.014154048365513988,0.030008063194469782,0.0014380985944649205,0.000425123304813578,0.0,0.0,,,,,,
classical,final_blind_v1_010,42,True,True,0,,64.51434233295731,2026-09-20T15:41:26.886137+00:00,0.7330400080830475,0.34352079393819174,0.8547894825968508,2bec3e23d15772c67759a075907c4e2488e0d11af918117a2d4fd0d2371c1ed4,af188b9fcd1cdf37f22c97c20ff42bc23959db3b07e8925d664da4a1506b26e1,True,0.009510879380712168,True,True,0.7345149634397158,0.34348287437216996,0.8634721743284237,0.0014754427124262772,0.010157696027324595,0.008682691731572878,0.010157696027324595,0.010386399696989575,0.00040637388663891297,0.00012036668018941423,0.0,0.0,,,,,,
