candidate,under,over,equal,missing,mean_signed_Q_error,median_signed_Q_error,median_relative_Q_error,worst_relative_Q_error
J0,24,0,0,0,-0.1346458033938518,-0.0476358315918715,0.04207148317608165,0.7647079435821288
J1,21,3,0,0,-0.10847537082625536,-0.03456985421773695,0.03372926627152725,0.7696223415162536
J2,23,1,0,0,-0.21806376600954044,-0.08609420373667405,0.07445306843275545,0.7832490959192855
J3,16,8,0,0,-0.11350669038121446,-0.031353295994126604,0.02974133534722105,0.7640586112662817
