scenario_id,grid,dt,steps,x_true,y_true,Q_true,Q_analytic,Q_numerical,sensor_mse,numerical_success,numerical_nfev,numerical_seconds,analytic_numerical_difference,signed_Q_error,absolute_Q_error,relative_Q_error,signed_relative_Q_error,linearity_relative_l2,runtime_seconds,amplitude_ratio,rms_ratio,relative_observation_l2,signed_observation_bias,normalized_signed_bias
diagnostic_v2_001,101,0.001,800,0.7061309402080453,0.527665059109984,0.9634898539689725,0.9185103498138172,0.9185103498140942,8.505156514496255e-08,True,5,0.0008689159876666963,2.7700064464397656e-13,-0.04497950415515528,0.04497950415515528,0.046683941683317166,-0.046683941683317166,1.0363514702959914e-15,0.14495558303315192,1.0486304779807616,1.0488002537303294,0.052163361311177,0.00027127812208889196,0.01673641643516315
diagnostic_v2_001,201,0.00025,3200,0.7061309402080453,0.527665059109984,0.9634898539689725,0.9445911698666825,0.9445911698667062,1.533709892881213e-08,True,5,0.0006847080076113343,2.375877272697835e-14,-0.01889868410229001,0.01889868410229001,0.01961482419813692,-0.01961482419813692,2.8088047996914364e-15,1.1718874159851111,1.019947718615044,1.0199774904467376,0.021415970394470584,0.00011008648298095998,0.00679175013769859
diagnostic_v2_001,321,0.000125,6400,0.7061309402080453,0.527665059109984,0.9634898539689725,0.9546708505610039,0.9546708505610121,3.2930049074340273e-09,True,5,0.0012444999883882701,8.215650382226158e-15,-0.008819003407968595,0.008819003407968595,0.009153187624799415,-0.009153187624799415,2.8773618550950293e-15,5.397226875007618,1.0092250926840138,1.0092314175293626,0.009892864110032764,5.0713752937300846e-05,0.0031287686659469092
diagnostic_v2_002,101,0.001,800,0.578396999491515,0.6929935065757433,0.9008728224190348,0.9171361824845492,0.9171361824845492,3.9800947220600645e-07,True,6,0.007409375044517219,0.0,0.01626336006551443,0.01626336006551443,0.018052892329290006,0.018052892329290006,6.713052873529086e-16,0.13197166699683294,0.9820088011040394,0.9821380097323684,0.02403056289351789,5.189345687547165e-06,0.0001334215895009406
diagnostic_v2_002,201,0.00025,3200,0.578396999491515,0.6929935065757433,0.9008728224190348,0.9073420501582345,0.907342050158946,6.584561048020126e-08,True,6,0.0007667089812457561,7.114309141798003e-13,0.006469227739199779,0.006469227739199779,0.007181066603639489,0.007181066603639489,2.3369617423007717e-15,1.1064295420073904,0.9928269172713476,0.9928485251220289,0.009713871231016217,3.363186138187865e-06,8.646979163892453e-05
diagnostic_v2_002,321,0.000125,6400,0.578396999491515,0.6929935065757433,0.9008728224190348,0.9038262898036742,0.9038262898036742,1.356624752686977e-08,True,6,0.001390625024214387,0.0,0.002953467384639419,0.002953467384639419,0.0032784509768079492,0.0032784509768079492,4.241066952461966e-15,5.325626500009093,0.9967233236287204,0.9967277928751254,0.004432361929933209,1.064634302742803e-06,2.7372468411583218e-05
diagnostic_v2_003,101,0.001,800,0.27866575074094624,0.4577370526799819,1.1731301917951675,1.1879980869526796,1.1879980869526796,2.9339957684931706e-06,True,2,0.0010828330414369702,0.0,0.014867895157512079,0.014867895157512079,0.01267369577690322,0.01267369577690322,1.7436976467843144e-15,0.16642237501218915,0.986992082159386,0.9872384686179875,0.025605265091716473,0.00019955774625083982,0.002602700113475949
diagnostic_v2_003,201,0.00025,3200,0.27866575074094624,0.4577370526799819,1.1731301917951675,1.1794600956933308,1.179460095693331,5.158193384404789e-07,True,2,0.00194695801474154,2.220446049250313e-16,0.006329903898163236,0.006329903898163236,0.005395738633643877,0.005395738633643877,1.9593079117644774e-15,1.5189404170378111,0.9945459477699777,0.9945895824844369,0.010795464168390096,8.268678018199526e-05,0.001078429157503748
diagnostic_v2_003,321,0.000125,6400,0.27866575074094624,0.4577370526799819,1.1731301917951675,1.1759568510721807,1.175956851072181,1.0682116557905376e-07,True,2,0.001423541980329901,2.220446049250313e-16,0.0028266592770131993,0.0028266592770131993,0.0024095017729342896,0.0024095017729342896,3.8784381853089805e-15,6.5649407079909,0.9975781630839997,0.9975872264861482,0.00489369802150586,3.899482544530928e-05,0.0005085837985156848
diagnostic_v2_004,101,0.001,800,0.3058838209619838,0.605650766749654,1.2408151113982613,1.2755912037274626,1.2755912037274626,2.483939536990011e-06,True,2,0.0011609579669311643,0.0,0.034776092329201314,0.034776092329201314,0.0280268123830411,0.0280268123830411,1.0312038447800101e-15,0.19035208295099437,0.9723400036894748,0.9725386190088442,0.03393166787353557,-0.00028764044084732856,-0.0036882912008673347
diagnostic_v2_004,201,0.00025,3200,0.3058838209619838,0.605650766749654,1.2408151113982613,1.2553054793459426,1.2553054793459426,4.4029748460836794e-07,True,2,0.0010772079695016146,0.0,0.014490367947681326,0.014490367947681326,0.01167810402579018,0.01167810402579018,2.3004444610249993e-15,1.5087002500076778,0.9883851424648137,0.9884209205020242,0.014339845063364703,-0.00011933417147177065,-0.0015301713949038857
diagnostic_v2_004,321,0.000125,6400,0.3058838209619838,0.605650766749654,1.2408151113982613,1.2472689984795893,1.2472689984795893,9.22887436310678e-08,True,2,0.0012439580168575048,0.0,0.006453887081327991,0.006453887081327991,0.005201328563814132,0.005201328563814132,2.6659653179686168e-15,6.639836708025541,0.9948104898128343,0.9948180375114516,0.006476737795156664,-5.1814935930499086e-05,-0.0006644009156118612
diagnostic_v2_005,101,0.001,800,0.5331837804586381,0.44411681311372253,1.3713293472696846,1.4062117788713406,1.4062117788713406,2.489742083861836e-06,True,2,0.0009348749881610274,0.0,0.03488243160165605,0.03488243160165605,0.025436946763450326,0.025436946763450326,1.0257979635513506e-15,0.14437154098413885,0.9749130576454803,0.9750535392476294,0.030054768479687827,-0.0004503316519455882,-0.004844513175705231
diagnostic_v2_005,201,0.00025,3200,0.5331837804586381,0.44411681311372253,1.3713293472696846,1.385815931585576,1.385815931585576,4.3749269516748744e-07,True,2,0.0004910840070806444,0.0,0.014486584315891449,0.014486584315891449,0.010563898705102624,0.010563898705102624,4.064714768491407e-15,1.6401309589855373,0.9894964301508276,0.9895214801012587,0.012645128711503377,-0.00018819197226034937,-0.002024504573991998
diagnostic_v2_005,321,0.000125,6400,0.5331837804586381,0.44411681311372253,1.3713293472696846,1.377883752653072,1.377883752653072,8.87783437077022e-08,True,2,0.0006585000082850456,0.0,0.006554405383387474,0.006554405383387474,0.004779599733964192,0.004779599733964192,2.7683480979575094e-15,6.455768709012773,0.99523291097689,0.9952380235608778,0.00573599054932565,-8.595794930318026e-05,-0.0009247060830762433
diagnostic_v2_006,101,0.001,800,0.4649788924345678,0.25204180298655204,0.9896690170728504,0.9112848243417004,0.9112848243422136,5.301716757036333e-08,True,5,0.0012313329498283565,5.131450819817474e-13,-0.07838419273114994,0.07838419273114994,0.07920243170084006,-0.07920243170084006,6.066237029585176e-16,0.16024191700853407,1.0837626877763296,1.0848882750483346,0.09724810427299706,0.0002292183257522906,0.04533571567535387
