index,x,y,Q,sensor_rms,runtime_seconds,rank,sigma_max,sigma_mid,sigma_min,jacobian_condition,information_eigenvalue_min,information_eigenvalue_mid,information_eigenvalue_max,information_condition,information_logdet,x_sensitivity_norm,y_sensitivity_norm,Q_sensitivity_norm,Q_effective_information,normalized_x_std_proxy,physical_x_std_proxy,normalized_y_std_proxy,physical_y_std_proxy,normalized_Q_std_proxy,physical_Q_std_proxy
0,0.25,0.25,1.1,0.07945176819230884,2.8630358750233427,3,14.729469744517882,10.753643898182501,1.0110884483017601,14.567933961917701,1.022299850289261,115.64085708891774,216.9572789546677,212.22469991879515,10.152244636138015,10.648069775384275,14.707485141281374,1.9821520555723422,1.0466194397479105,0.17291464912519147,0.08645732456259574,0.0780169891827593,0.03900849459137965,0.9774748713742633,0.5864849228245579
1,0.275,0.25,1.1,0.06885929192250323,2.9310088329948485,3,13.438747723573039,11.892063474139853,0.6712683292480877,20.019934112825307,0.450601169851519,141.42117367297124,180.59994037783954,400.79776188186645,9.350854141412535,12.103221282397467,13.154185477868056,1.7178923784185625,0.4577912388839237,0.19676306477153258,0.09838153238576629,0.09353143999192175,0.046765719995960874,1.4779721872770026,0.8867833123662016
2,0.3,0.25,1.1,0.056723630150822296,2.828510792052839,3,13.074690265556473,10.605922314301212,0.42997315532908625,30.408154796430413,0.18487691430365052,112.48558813699238,170.9475255402372,924.6558781236739,8.176116745791411,12.469162443300062,11.231000653770955,1.4151335163596985,0.18688494987531998,0.24176676530051738,0.12088338265025869,0.1200296058666354,0.0600148029333177,2.313198147325025,1.3879188883950149
3,0.325,0.25,1.1,0.04435691751627048,2.844876583025325,3,12.358346574157615,8.367956638947714,0.26217204573759534,47.13830774516261,0.06873418156623579,70.02269831130911,152.72873004699326,2222.020057077657,6.5999741373871625,11.77250083487324,9.11064212844564,1.1066104283660165,0.06925885836236328,0.322187238756783,0.1610936193783915,0.165044840721893,0.0825224203609465,3.799813975630987,2.2798883853785923
4,0.35,0.25,1.1,0.03286913519853277,2.829950709012337,3,10.877756113351541,6.0990726276256595,0.15375005129308073,70.74960965454375,0.023639078272624955,37.19868691705257,118.32557806155683,5005.50726627031,4.644859346515015,10.29099613529954,6.997919574219154,0.8200147760206022,0.023769407353501817,0.4570694781184852,0.2285347390592426,0.24159963848508553,0.12079981924254277,6.486207278656697,3.8917243671940183
5,0.375,0.25,1.1,0.023035753301097663,2.7891445829882286,3,8.903118331234053,4.150869483508648,0.09481244270199432,93.90242543605282,0.008989399291118956,17.229717469123354,79.26551601995583,8817.66550277346,2.507729579720304,8.378460357737692,5.096602104530356,0.5746928834473464,0.009026041668794876,0.6259844483659776,0.3129922241829888,0.36110985860541667,0.18055492930270833,10.525708366449217,6.31542501986953
6,0.4,0.25,1.1,0.015283429294735413,2.7839314590091817,3,6.770484532832667,2.7636346094829967,0.07635951659869218,88.66589044054564,0.0058307757751859465,7.637676254732235,45.83946080932637,7861.640127614843,0.7136334902595598,6.364353039827511,3.5822614317575385,0.3812889439971823,0.005848944083409698,0.6568397714074079,0.32841988570370395,0.5040247799934409,0.25201238999672043,13.07558912498706,7.845353474992235
7,0.42500000000000004,0.25,1.1,0.00976926390232804,2.7276920420117676,3,4.790654310283443,2.052494599310101,0.08109710573343297,59.07306144846123,0.0065767405583396065,4.212734080197132,22.950368720637336,3489.6265888936764,-0.4527701474794483,4.517748644944161,2.5884795093030704,0.2437222854318139,0.006594086635324578,0.52257296890347,0.261286484451735,0.6386259719524648,0.3193129859762324,12.31466708550338,7.388800251302028
8,0.45,0.25,1.1,0.006540447971305261,2.8106369580491446,3,3.2103265809142627,1.9064044782904215,0.09687730891325529,33.13806521802556,0.009385212982274292,3.634378034845774,10.30619675612466,1098.1313663941153,-1.0454365823959892,3.041329883095988,2.161862166252747,0.1631702186829576,0.009405979279476298,0.42429167354571473,0.21214583677285737,0.6537550640007154,0.3268775320003577,10.3109336246721,6.186560174803259
9,0.475,0.25,1.1,0.005532613657269752,2.749385708011687,3,2.296939643485949,1.936838253427197,0.11292271252356416,20.340811800873407,0.012751539003679514,3.7513424199389154,5.275931725817359,413.74862471855084,-1.3768342596660306,2.0848881842296523,2.1619934130234113,0.13802690340259086,0.012769463937522003,0.48812013068218196,0.24406006534109098,0.5726547607109582,0.2863273803554791,8.849396760517152,5.309638056310291
10,0.5,0.25,1.1,0.006110755216826119,2.9934572079801,3,2.3684425306175574,1.7138684142455263,0.10444609674738568,22.67621868480059,0.01090898712576425,2.9373449413484747,5.609520020838099,514.2108938408995,-1.716197072270739,1.731797468773734,2.352745286264434,0.15245030148119254,0.010950606148799738,0.7759181438427263,0.38795907192136314,0.5148357076415229,0.25741785382076143,9.556105160869826,5.733663096521895
11,0.525,0.25,1.1,0.007476312251619236,2.9874082090100273,3,2.629771402678407,1.8039827616746806,0.08718212568195768,30.164111990935744,0.0076007230384246656,3.2543538044194076,6.915697630345156,909.8736522017135,-1.7657243210594844,1.8581340124305092,2.5865423198144515,0.1865180352157637,0.007664507326903118,1.1365385060076827,0.5682692530038413,0.5050343883758465,0.25251719418792323,11.42241350627223,6.853448103763338
12,0.55,0.25,1.1,0.009317079119403805,2.928600749990437,3,2.954085164481514,2.0238812777027695,0.09865742754964824,29.942856182773504,0.00973328801071409,4.096095426235795,8.726619159009772,896.5746363822575,-1.0557913020985739,2.2173119190049926,2.803916332023036,0.23244124012137649,0.009835888994130607,1.1035977899340894,0.5517988949670447,0.46098953822082345,0.23049476911041172,10.083079482291637,6.049847689374983
13,0.575,0.25,1.1,0.011604257582967641,2.9152624580310658,3,3.354251082930024,2.2149682862690345,0.13154198185838042,25.499471997778233,0.017303292991230484,4.9060845091775835,11.251000327337238,650.2230721654762,-0.04592523522886616,2.6763160626141116,2.98796073705942,0.2895014616389223,0.017496767357421394,0.8778199036645886,0.4389099518322943,0.40149059522116093,0.20074529761058046,7.559987742097942,4.535992645258765
14,0.6000000000000001,0.25,1.1,0.014377291356342553,2.7880895000416785,3,3.8178862124274615,2.362950801114385,0.1720606046689726,22.189194439788775,0.02960485167905248,5.583536488487114,14.576255131043707,492.36034988675306,0.8793991757975359,3.1837483423329878,3.1503158029972576,0.35868273625527136,0.02992904784685977,0.6944828673840059,0.34724143369200294,0.3623362218202937,0.18116811091014684,5.780342200355639,3.468205320213383
