scenario_id,grid,dt,steps,x_true,y_true,Q_true,Q_analytic,Q_numerical,sensor_mse,numerical_success,numerical_nfev,numerical_seconds,analytic_numerical_difference,signed_Q_error,absolute_Q_error,relative_Q_error,signed_relative_Q_error,linearity_relative_l2,runtime_seconds,amplitude_ratio,rms_ratio,relative_observation_l2,signed_observation_bias,normalized_signed_bias
diagnostic_v2_001,201,0.00025,3200,0.7061309402080453,0.527665059109984,0.9634898539689725,0.9445911698666825,0.9445911698667062,1.533709892881213e-08,True,5,0.0006847080076113343,2.375877272697835e-14,-0.01889868410229001,0.01889868410229001,0.01961482419813692,-0.01961482419813692,2.8088047996914364e-15,1.1718874159851111,1.019947718615044,1.0199774904467376,0.021415970394470584,0.00011008648298095998,0.00679175013769859
diagnostic_v2_002,201,0.00025,3200,0.578396999491515,0.6929935065757433,0.9008728224190348,0.9073420501582345,0.907342050158946,6.584561048020126e-08,True,6,0.0007667089812457561,7.114309141798003e-13,0.006469227739199779,0.006469227739199779,0.007181066603639489,0.007181066603639489,2.3369617423007717e-15,1.1064295420073904,0.9928269172713476,0.9928485251220289,0.009713871231016217,3.363186138187865e-06,8.646979163892453e-05
diagnostic_v2_003,201,0.00025,3200,0.27866575074094624,0.4577370526799819,1.1731301917951675,1.1794600956933308,1.179460095693331,5.158193384404789e-07,True,2,0.00194695801474154,2.220446049250313e-16,0.006329903898163236,0.006329903898163236,0.005395738633643877,0.005395738633643877,1.9593079117644774e-15,1.5189404170378111,0.9945459477699777,0.9945895824844369,0.010795464168390096,8.268678018199526e-05,0.001078429157503748
diagnostic_v2_004,201,0.00025,3200,0.3058838209619838,0.605650766749654,1.2408151113982613,1.2553054793459426,1.2553054793459426,4.4029748460836794e-07,True,2,0.0010772079695016146,0.0,0.014490367947681326,0.014490367947681326,0.01167810402579018,0.01167810402579018,2.3004444610249993e-15,1.5087002500076778,0.9883851424648137,0.9884209205020242,0.014339845063364703,-0.00011933417147177065,-0.0015301713949038857
diagnostic_v2_005,201,0.00025,3200,0.5331837804586381,0.44411681311372253,1.3713293472696846,1.385815931585576,1.385815931585576,4.3749269516748744e-07,True,2,0.0004910840070806444,0.0,0.014486584315891449,0.014486584315891449,0.010563898705102624,0.010563898705102624,4.064714768491407e-15,1.6401309589855373,0.9894964301508276,0.9895214801012587,0.012645128711503377,-0.00018819197226034937,-0.002024504573991998
diagnostic_v2_006,201,0.00025,3200,0.4649788924345678,0.25204180298655204,0.9896690170728504,0.9557546225436856,0.9557546225436928,9.351659879401362e-09,True,5,0.0007109169964678586,7.216449660063518e-15,-0.03391439452916478,0.03391439452916478,0.03426842100147136,-0.03426842100147136,1.6389611118706477e-15,1.6554997909697704,1.035105611910154,1.03529499658235,0.04030516254947236,9.379892660830179e-05,0.018551926218861058
diagnostic_v2_007,201,0.00025,3200,0.5400299139051506,0.621292821755324,0.814105194585913,0.823486201533484,0.8234862015334838,1.6967157907335996e-07,True,6,0.0007533750031143427,-1.1102230246251565e-16,0.009381006947570936,0.009381006947570936,0.011523089411488765,0.011523089411488765,3.773701790937467e-15,1.8684143330319785,0.9885467312015613,0.9885774549003755,0.01385358921656771,-9.273832691300515e-05,-0.0017749974266603873
diagnostic_v2_008,201,0.00025,3200,0.259487609100411,0.2766427005502588,0.926443887930336,0.9297322717329,0.9297322717330009,2.0182557506658144e-07,True,6,0.0007536249468103051,1.0091927293842673e-13,0.00328838380256391,0.00328838380256391,0.003549468937519916,0.003549468937519916,3.6926725557868916e-15,2.258466249972116,0.9964202374568522,0.9964416611139068,0.007450442251138169,-2.6925602541592798e-06,-3.930165691890555e-05
diagnostic_v2_009,201,0.00025,3200,0.6431663433219396,0.656518575413083,0.8898098806974829,0.887057512692695,0.8870575126961452,4.828322359838753e-08,True,7,0.0008960830164141953,3.450240093627599e-12,-0.002752368004787953,0.002752368004787953,0.003093209082630654,-0.003093209082630654,4.494942178072856e-15,1.470597915991675,1.0030522975668488,1.0030775518217718,0.007744664941877977,6.751705672421071e-05,0.0021803572664275102
diagnostic_v2_010,201,0.00025,3200,0.3522193121082315,0.7171704200266901,0.8673498880012173,0.873241309555576,0.873241309555576,5.72499188392532e-08,True,6,0.0008455420029349625,0.0,0.005891421554358733,0.005891421554358733,0.006792439401745176,0.006792439401745176,1.884409576450482e-15,1.8389104579691775,0.9932128391384355,0.9932331126429089,0.009291812172569221,-3.658200286142112e-05,-0.0009768584601927328
diagnostic_v2_011,201,0.00025,3200,0.6061592404968423,0.32936855857203223,1.3023931314400659,1.297432214537211,1.2974322145372108,3.208097907855841e-08,True,2,0.00042616698192432523,-2.220446049250313e-16,-0.004960916902854828,0.004960916902854828,0.00380907790673735,-0.00380907790673735,2.451226047510125e-15,1.3416591670247726,1.0037754224757822,1.0037995321777216,0.007915544747429545,5.945659526276822e-05,0.0023007055772017266
diagnostic_v2_012,201,0.00025,3200,0.38307944336130173,0.6724755531387194,0.8291411531632115,0.8351607142387152,0.83516071434518,1.316794249501313e-07,True,10,0.0010571249877102673,1.0646483694642939e-10,0.006019561075503721,0.006019561075503721,0.00725999554181917,0.00725999554181917,2.427804951668665e-15,1.7945804999908432,0.992725758569305,0.9927590447741267,0.010908888221365933,-7.239017267710473e-05,-0.0016335868309970767
diagnostic_v2_013,201,0.00025,3200,0.4800754992012443,0.7496954105245565,1.0475511281713883,1.0612790124309353,1.0612790124309353,1.5314248567752595e-07,True,5,0.0006832920480519533,0.0,0.013727884259546963,0.013727884259546963,0.013104739129545346,0.013104739129545346,1.2108206814382493e-15,1.494631833047606,0.98690340832318,0.9869840876825788,0.018187157343922677,9.950765099495177e-06,0.0003251179111219729
diagnostic_v2_014,201,0.00025,3200,0.7480878889466491,0.5490781975465513,1.1543704869971505,1.1160217806955695,1.1160217806955697,7.769126020538136e-09,True,2,0.00039608299266546965,2.220446049250313e-16,-0.03834870630158105,0.03834870630158105,0.03322044935620024,-0.03322044935620024,1.4372529407596006e-15,1.478431958006695,1.0342449508134341,1.0343034584623831,0.03596863300680045,9.321463695121111e-05,0.011248360340112947
diagnostic_v2_015,201,0.00025,3200,0.6837956545449917,0.39096024884894476,0.8588863041233158,0.8521369624359463,0.8521369624729952,2.0708447710093183e-08,True,9,0.0009691249579191208,3.704891948785871e-11,-0.0067493416873695145,0.0067493416873695145,0.007858248123142116,-0.007858248123142116,1.8380190575770678e-15,1.496971416985616,1.0078582404630119,1.0078893643975646,0.01115750598041322,5.4468240687764133e-05,0.0029745552194360555
